sentence_id,switched,subject_idx,subject,object_idx,object,verb,sentence
38,no,4,Jena,6,Marcus,liked,I never thought that Jena liked Marcus in freshmen year ; they just seemed like best friends . 
38,yes,4,Marcus,6,Jena,liked,I never thought that Marcus liked Jena in freshmen year ; they just seemed like best friends .
39,no,5,knights,8,peasants,chased,"In the olden days , knights chased after peasants to collect rent ."
39,yes,5,peasants,8,knights,chased,"In the olden days , peasants chased after knights to collect rent ."
40,no,6,bride,9,people,make ,There was no way for the bride to make people happy after coming 3 hours late to the highly anticipated reception .
40,yes,5,people,9,bride,make ,There was no way for people to make the bride happy after coming 3 hours late to the highly anticipated reception .
41,no,1,Sydney,6,treehouse,fell,"When Sydney fell on the lego treehouse , all the school children stopped to see ."
41,yes,3,treehouse,6,Sydney,fell,"When the lego treehouse fell on Sydney , all the school children stopped to see ."
42,no,4,situation,6,Shelly,changed,"Everyone thinks that the situation changed Shelly drastically , but that did not happen ."
42,yes,3,Shelly,6,situation,changed,"Everyone thinks that Shelly changed the situation drastically , but that did not happen ."
43,no,8,sister,10,Bob,sings,It will probably be night time when your sister sings Bob the song written for the event .
43,yes,7,Bob,10,sister,sings,It will probably be night time when Bob sings your sister the song written for the event .
44,no,0,Sam,2,Billy,moved,Sam moved Billy off the floor and onto to the chair when he realized he was sleeping . 
44,yes,0,Billy,2,Sam,moved,Billy moved Sam off the floor and onto to the chair when he realized he was sleeping . 
45,no,7,mom,10,aunt,asked,"More than a week ago , my mom asked my aunt to buy the Halloween candy that would be given out to the trick-or-treaters ."
45,yes,7,aunt,10,mom,asked,"More than a week ago , my aunt asked my mom to buy the Halloween candy that would be given out to the trick-or-treaters ."
46,no,7,Terry,9,John,met,"In the depths of the night , Terry met John to have the duel of the century ."
46,yes,7,John,9,Terry,met,"In the depths of the night , John met Terry to have the duel of the century ."
47,no,1,teacher,3,Lilly,called,The teacher called Lilly over to help with a class activity .
47,yes,0,Lilly,3,teacher,called,Lilly called the teacher over to help with a class activity .
48,no,5,Mabel,7,you,grabbed,It didn't make sense why Mabel grabbed you by the arm after getting upset about the same thing last week .
48,yes,5,you,7,Mabel,grabbed,It didn't make sense why you grabbed Mabel by the arm after getting upset about the same thing last week .
49,no,4,George,6,James,taught,No one knows why George taught James how to do that at such an early age . 
49,yes,4,James,6,George,taught,No one knows why James taught George how to do that at such an early age . 
50,no,0,Edna,2,Faye,gave,Edna gave Faye the fruitsnacks before giving them to me . 
50,yes,0,Faye,2,Edna,gave,Faye gave Edna the fruitsnacks before giving them to me . 
51,no,6,you,8,Gray,told,How did people find out that you told Gray about the rare mountain birds ?
51,yes,6,Gray,8,you,told,How did people find out that Gray told you about the rare mountain birds ?
52,no,6,brother,9,nephew,punched,Everything was going well until my brother punched your nephew and they began fighting .
52,yes,6,nephew,9,brother,punched,Everything was going well until your nephew punched my brother and they began fighting .
53,no,4,Lucy,6,Corey,kissed,"No one believed that Lucy kissed Corey first until they officially started dating , but I always knew ."
53,yes ,4,Corey,6,Lucy,kissed,"No one believed that Corey kissed Lucy first until they officially started dating , but I always knew ."
